"","title","genre","series_movie"
"636","Penguin Bloom","Drama","Movie"
"637","50M2","Comedy","Series"
"638","50M2","Drama","Series"
"639","50M2","Thriller","Series"
"640","Samjin Company English Class","Comedy","Movie"
"641","Samjin Company English Class","Drama","Movie"
"642","Kilometers and Kilometers","Adventure","Movie"
"643","Kilometers and Kilometers","Comedy","Movie"
"644","Kilometers and Kilometers","Drama","Movie"
"645","Prokurator","Crime","Movie"
"646","Go Dog Go","Animation","Movie"
"647","Accomplice","Film-Noir","Movie"
"648","Accomplice","Mystery","Movie"
"649","Accomplice","Thriller","Movie"
"650","Game of Truth","Comedy","Movie"
"651","Game of Truth","Drama","Movie"
"652","Jiu Jitsu","Action","Movie"
"653","Jiu Jitsu","Comedy","Movie"
"654","Jiu Jitsu","Fantasy","Movie"
"655","Jiu Jitsu","Sci-Fi","Movie"
"656","Jiu Jitsu","Thriller","Movie"
"657","Squadron 303","Drama","Movie"
"658","Squadron 303","War","Movie"
"659","Lara","Drama","Series"
"660","Lara","Music","Series"
"661","The Anniversary","Comedy","Movie"
"662","The Anniversary","Drama","Movie"
"663","The Anniversary","Thriller","Movie"
"664","That Trip we took with Dad","Comedy","Movie"
"665","That Trip we took with Dad","Drama","Movie"
"666","The Oddsockeaters","Animation","Movie"
"667","The Oddsockeaters","Adventure","Movie"
"668","The Oddsockeaters","Comedy","Movie"
"669","The Oddsockeaters","Family","Movie"
"670","The Oddsockeaters","Fantasy","Movie"
"671","The Oak","Comedy","Movie"
"672","The Oak","Drama","Movie"
"673","Touch Me Not","Drama","Movie"
"674","Youtube Bazaar","Documentary","Movie"
"675","Youtube Bazaar","Drama","Movie"
"676","Zavera","Drama","Movie"
"677","It Takes Two to Fence","Drama","Movie"
"678","It Takes Two to Fence","Romance","Movie"
"679","Funeralii fericite","Comedy","Movie"
"680","Doua Lozuri","Comedy","Movie"
"681","Chasing Rainbows","Comedy","Movie"
"682","Caisa","Documentary","Movie"
